Run;K;LnProbData;meanLnLikelihood;varianceLnLikelihood;meanAlpha
35;4;-4235.9;-2210.2;4051.3;0.0561
49;6;-2630.8;-2133.5;994.6;0.0531
22;6;-2701.2;-2136.1;1130.2;0.054
5;10;-2524.8;-2082.8;883.8;0.0417
5;5;-2335.3;-2165.8;338.9;0.0596
25;5;-2336.6;-2166.2;340.9;0.0607
41;8;-2427.9;-2072.8;710.1;0.0463
32;7;-2603.5;-2091.2;1024.6;0.0493
5;9;-2609.8;-2085.1;1049.4;0.0436
28;6;-2622.6;-2127.1;991.0;0.0549
16;3;-2507.1;-2384.4;245.3;0.0642
43;6;-2704.0;-2144.4;1119.1;0.0538
4;2;-2732.5;-2646.3;172.4;0.1231
30;9;-2506.2;-2073.4;865.6;0.0429
38;7;-2636.5;-2102.4;1068.3;0.0489
44;5;-2340.6;-2165.4;350.5;0.0599
20;8;-2612.1;-2079.3;1065.6;0.0454
17;7;-2809.6;-2103.6;1412.0;0.0509
29;2;-2732.6;-2646.4;172.5;0.1201
8;3;-2510.0;-2384.5;250.9;0.0666
9;8;-2643.8;-2090.0;1107.4;0.0455
42;2;-2732.3;-2646.4;171.7;0.1188
39;3;-2506.5;-2384.3;244.5;0.0659
3;4;-2345.6;-2188.1;314.8;0.0541
10;4;-2482.8;-2191.9;581.7;0.0544
27;10;-2391.1;-2071.7;638.8;0.0411
48;2;-2733.3;-2646.4;173.8;0.1193
3;8;-2781.2;-2094.7;1372.9;0.0456
2;3;-2507.1;-2384.1;245.9;0.065
23;2;-2732.6;-2646.3;172.6;0.121
15;9;-2688.8;-2084.4;1208.9;0.0431
9;4;-2347.4;-2188.5;317.8;0.0545
33;3;-2507.2;-2384.4;245.6;0.0656
46;10;-2480.0;-2078.9;802.2;0.041
25;4;-2346.3;-2187.9;316.7;0.0536
12;10;-2403.4;-2070.7;665.5;0.0406
32;6;-2606.2;-2123.9;964.6;0.0535
41;9;-2638.6;-2081.8;1113.5;0.0423
49;7;-2567.2;-2082.3;969.7;0.0483
35;5;-2366.5;-2167.4;398.4;0.0613
22;7;-2545.0;-2103.4;883.3;0.0477
44;4;-2345.5;-2188.7;313.6;0.0534
38;6;-2551.2;-2127.0;848.5;0.0544
5;7;-2552.2;-2089.5;925.5;0.0487
18;10;-2523.5;-2079.7;887.6;0.0417
20;9;-2551.7;-2086.6;930.1;0.0437
16;2;-2732.8;-2646.2;173.1;0.1222
28;7;-2728.7;-2141.0;1175.5;0.0502
30;8;-2516.2;-2073.8;884.9;0.0456
43;7;-2617.0;-2099.7;1034.7;0.0479
39;2;-2732.3;-2646.4;172.0;0.121
10;5;-2328.1;-2168.3;319.7;0.0611
9;6;-2698.7;-2138.4;1120.7;0.0544
29;3;-2508.9;-2384.4;249.0;0.0671
17;6;-2711.7;-2144.5;1134.5;0.0549
42;3;-2506.3;-2384.5;243.7;0.065
37;10;-2497.1;-2076.0;842.1;0.0412
3;6;-2557.2;-2125.2;864.1;0.0529
15;8;-2750.7;-2089.4;1322.6;0.0466
33;2;-2732.6;-2646.3;172.6;0.121
48;3;-2507.0;-2384.6;244.8;0.0676
23;3;-2506.3;-2384.5;243.7;0.0669
37;2;-2732.2;-2646.3;171.8;0.1223
7;6;-2689.6;-2133.3;1112.5;0.052
11;8;-2676.4;-2076.8;1199.3;0.0464
27;3;-2506.0;-2384.6;242.6;0.066
