Run;K;sample;LnProbData;meanLnLikelihood;varianceLnLikelihood;meanAlpha
1;10;9;-606.5;-579.7;53.7;5.5152
39;5;8;-510.6;-410.0;201.2;0.1051
36;8;8;-575.3;-410.8;329.1;0.0668
24;3;3;-589.0;-439.7;298.7;0.109
14;4;4;-576.2;-553.9;44.7;3.9309
49;6;9;-916.8;-484.8;863.9;0.0731
7;4;1;-804.9;-505.9;598.0;0.0541
37;5;10;-606.6;-459.1;295.1;0.088
35;4;9;-718.5;-491.5;454.0;0.1169
21;10;10;-578.9;-559.3;39.2;7.3899
38;8;10;-643.5;-467.3;352.4;0.0862
4;3;3;-532.2;-513.1;38.2;7.7832
9;8;10;-618.8;-470.1;297.3;0.0776
28;2;2;-639.3;-525.9;226.8;0.1606
16;7;2;-2316.4;-547.3;3538.2;1.6821
32;2;7;-516.8;-467.1;99.3;0.1525
18;5;5;-825.9;-529.3;593.2;6.4488
17;8;5;-644.4;-412.1;464.6;0.0582
45;7;8;-552.9;-407.1;291.6;0.0758
43;2;2;-637.8;-531.2;213.2;0.1957
27;3;1;-718.2;-533.1;370.2;0.0624
10;2;8;-533.9;-448.5;170.8;0.1256
19;6;1;-1286.5;-507.2;1558.5;0.1009
18;9;6;-670.1;-449.2;441.8;0.0526
17;4;6;-784.3;-452.4;663.8;0.0723
5;8;3;-1392.0;-455.9;1872.2;0.5167
22;6;9;-601.0;-579.1;43.8;5.0891
20;7;10;-631.3;-461.9;338.9;0.0719
31;2;5;-525.5;-440.7;169.6;0.0772
14;8;7;-749.7;-439.7;619.9;0.0658
8;3;10;-593.5;-456.0;275.1;0.0852
3;6;7;-667.2;-440.0;454.5;0.0745
22;3;7;-543.3;-463.9;158.7;0.1205
46;2;4;-863.6;-514.0;699.3;0.4962
28;9;10;-679.0;-466.0;426.1;0.0809
25;5;9;-601.8;-579.3;44.9;7.6471
27;4;10;-1533.1;-493.7;2078.9;1.1216
38;3;2;-611.1;-486.3;249.7;0.1163
3;7;8;-513.4;-406.1;214.8;0.0738
5;10;9;-1060.3;-483.3;1154.0;0.0595
26;9;8;-2548.5;-462.3;4172.5;1.2171
11;8;1;-900.2;-512.7;774.9;0.0499
37;10;9;-977.0;-478.9;996.3;0.0603
29;4;8;-522.9;-410.7;224.5;0.1197
10;7;6;-586.4;-572.1;28.6;5.2421
34;2;3;-933.2;-486.7;893.0;1.2371
30;6;10;-611.5;-463.2;296.5;0.0799
21;3;5;-555.6;-533.8;43.6;6.6987
32;7;9;-1590.0;-499.2;2181.6;0.6269
45;2;6;-582.2;-506.6;151.2;0.2939
11;4;2;-610.1;-487.4;245.5;0.151
42;4;8;-495.7;-410.1;171.1;0.1303
3;4;10;-596.1;-457.4;277.4;0.1013
49;3;7;-574.8;-451.9;245.7;0.1194
4;7;4;-1097.4;-518.2;1158.3;1.1293
44;10;8;-726.8;-413.5;626.7;0.0963
12;8;3;-528.4;-511.3;34.2;7.63
43;9;10;-645.7;-464.7;362.1;0.0765
13;7;4;-673.4;-548.8;249.3;3.8702
41;8;9;-1022.7;-478.6;1088.2;0.0677
37;2;1;-696.9;-671.1;51.6;7.2875
9;6;7;-751.0;-442.3;617.5;0.0752
11;5;7;-1774.4;-486.0;2576.9;1.0495
2;3;10;-577.2;-453.4;247.6;0.0829
28;6;9;-1772.1;-521.4;2501.5;1.0148
6;7;6;-655.3;-445.3;420.0;0.0526
16;3;9;-601.2;-580.0;42.3;7.9887
14;2;10;-554.9;-468.5;172.9;0.074
45;3;3;-608.0;-439.3;337.3;0.1215
12;9;6;-755.3;-443.1;624.4;0.0535
13;6;1;-812.6;-514.4;596.5;0.0515
37;3;4;-1021.3;-520.2;1002.3;0.9607
24;7;8;-567.4;-408.9;317.1;0.0701
15;10;6;-648.0;-446.3;403.2;0.0486
40;10;10;-619.4;-474.6;289.7;0.074
49;2;2;-628.0;-603.3;49.3;4.9179
12;5;5;-641.0;-413.1;455.9;0.0789
38;2;7;-1136.9;-540.3;1193.2;2.8069
22;2;2;-608.5;-535.9;145.1;0.2649
1;2;2;-607.7;-536.7;142.0;0.2891
3;8;10;-629.4;-464.1;330.5;0.0816
46;3;1;-695.0;-540.7;308.4;0.0749
30;9;9;-1323.5;-477.2;1692.5;0.1549
32;8;10;-1747.4;-501.7;2491.4;1.1279
11;9;4;-714.0;-549.5;329.0;3.965
43;6;9;-827.8;-486.6;682.4;0.0742
50;2;5;-527.2;-440.8;172.7;0.0794
41;7;10;-640.4;-465.2;350.3;0.0806
14;10;4;-573.9;-554.0;39.8;3.9993
10;6;3;-700.1;-438.3;523.7;0.1115
34;3;6;-614.2;-441.8;344.6;0.0672
33;5;8;-540.9;-409.2;263.4;0.0985
44;5;9;-841.3;-468.4;745.9;0.0771
46;4;10;-577.3;-557.7;39.2;6.1208
19;7;4;-1098.9;-520.1;1157.7;0.5637
49;9;10;-578.2;-557.4;41.6;5.2769
18;8;3;-1267.0;-478.0;1578.1;1.2757
17;5;3;-739.8;-442.5;594.6;0.161
43;3;7;-570.2;-448.1;244.2;0.1223
7;8;1;-694.0;-670.0;48.1;5.8131
9;4;10;-602.8;-454.2;297.3;0.0926
34;6;8;-516.6;-410.9;211.4;0.0828
1;6;5;-615.1;-414.5;401.3;0.0712
27;2;4;-930.8;-532.3;797.0;2.0423
48;4;8;-499.5;-409.9;179.3;0.1355
15;6;5;-667.4;-410.7;513.3;0.0707
47;9;8;-552.5;-412.5;280.0;0.0584
14;9;2;-615.3;-479.8;271.0;0.0692
17;10;2;-1547.2;-498.7;2097.0;0.5598
38;7;9;-2356.7;-534.9;3643.5;4.7736
5;4;3;-535.3;-513.2;44.2;7.817
6;3;1;-730.6;-539.1;383.0;0.0684
14;5;1;-765.9;-502.3;527.1;0.053
23;4;8;-494.6;-411.2;166.8;0.1386
40;3;5;-651.0;-417.2;467.6;0.0886
24;2;6;-574.5;-507.5;133.9;0.2508
9;7;8;-555.7;-410.1;291.3;0.0731
16;6;7;-643.8;-450.1;387.5;0.0791
32;3;2;-596.2;-485.0;222.4;0.1272
25;10;8;-2646.1;-467.7;4356.8;2.9783
22;9;10;-689.1;-468.7;440.8;0.0799
20;8;9;-1203.7;-479.1;1449.3;0.111
6;6;9;-905.6;-484.5;842.3;0.0747
28;3;7;-595.1;-453.1;284.0;0.1239
20;10;3;-531.1;-513.3;35.7;5.5061
22;5;6;-594.5;-571.7;45.5;6.0506
48;6;2;-628.9;-480.8;296.2;0.0923
1;5;1;-786.3;-501.3;570.0;0.0498
49;9;5;-660.3;-417.5;485.6;0.0611
2;2;3;-547.6;-450.6;193.9;0.1048
46;4;5;-555.2;-533.7;43.0;8.2357
25;3;8;-520.1;-415.8;208.5;0.1514
12;2;1;-702.3;-592.5;219.5;0.088
36;7;4;-638.5;-551.6;173.8;4.1713
38;5;3;-627.3;-437.4;379.7;0.121
37;8;3;-729.3;-437.8;582.9;0.0909
44;7;3;-658.0;-431.8;452.3;0.0823
21;9;7;-600.6;-455.1;290.9;0.0644
15;6;10;-639.7;-458.2;363.0;0.078
45;8;4;-578.7;-553.2;50.9;3.4515
17;7;9;-2461.9;-516.0;3891.8;2.6087
38;10;2;-1883.6;-520.3;2726.7;0.8376
29;2;9;-826.0;-523.6;604.8;0.1732
2;10;6;-1920.4;-475.6;2889.7;1.0437
50;5;1;-3114.7;-591.6;5046.3;2.3206
34;4;2;-628.5;-603.2;50.7;8.1915
21;5;4;-985.9;-507.4;957.0;0.2339
45;4;7;-589.5;-454.5;270.1;0.1094
21;10;1;-2047.2;-539.1;3016.2;0.3269
11;2;3;-869.0;-478.5;781.0;1.606
35;7;6;-718.0;-447.6;541.0;0.0607
50;9;2;-681.5;-478.4;406.0;0.0656
5;7;7;-661.4;-447.5;427.7;0.0744
40;3;10;-594.1;-455.9;276.4;0.0818
42;2;9;-601.6;-579.3;44.5;5.4697
3;9;3;-1202.2;-490.4;1423.5;4.3494
34;8;1;-843.6;-511.4;664.6;0.0478
12;10;9;-1056.3;-467.6;1177.3;0.0564
22;9;5;-585.7;-411.3;348.8;0.0613
47;7;1;-799.5;-508.8;581.5;0.0514
49;5;6;-637.5;-439.0;396.9;0.0608
46;8;6;-677.4;-441.3;472.3;0.0505
23;6;2;-601.3;-480.6;241.5;0.0826
39;6;7;-771.4;-447.7;647.4;0.0957
1;10;4;-650.4;-550.4;200.1;2.2678
40;4;1;-874.2;-513.7;721.1;0.0585
39;3;9;-664.1;-491.9;344.4;0.1116
24;5;2;-601.0;-482.6;236.9;0.1094
31;8;7;-656.2;-441.4;429.5;0.0654
22;10;7;-579.2;-559.7;39.0;8.7226
9;5;3;-941.6;-442.0;999.3;0.4393
6;4;2;-996.8;-490.8;1011.9;0.2823
50;10;4;-579.6;-553.9;51.3;7.0609
14;2;5;-550.5;-443.5;213.9;0.0857
26;6;4;-1011.5;-532.5;958.0;3.6176
35;2;8;-530.6;-444.6;171.9;0.1073
42;7;7;-1222.8;-450.2;1545.1;0.2118
27;9;3;-1152.8;-465.7;1374.1;0.6916
28;4;3;-1185.3;-466.0;1438.6;0.68
48;10;5;-678.4;-420.7;515.4;0.06
32;4;6;-785.2;-453.7;662.9;0.0768
5;6;8;-2294.9;-449.3;3691.3;1.7971
18;3;4;-879.7;-512.3;734.8;0.3629
4;10;2;-702.4;-481.3;442.2;0.067
29;7;7;-634.9;-451.5;366.8;0.0699
43;4;3;-657.0;-437.0;440.2;0.1261
2;6;4;-905.2;-538.0;734.4;1.5248
12;5;10;-595.9;-455.7;280.3;0.0922
10;4;9;-799.5;-483.8;631.4;0.1021
5;5;10;-611.6;-458.8;305.5;0.0875
32;8;5;-556.1;-534.2;43.7;5.5851
17;2;7;-511.2;-467.2;87.9;0.1567
33;7;2;-627.7;-477.9;299.6;0.0856
23;10;5;-643.6;-417.7;451.8;0.058
40;8;2;-616.6;-481.8;269.5;0.0726
25;6;6;-718.6;-446.2;544.8;0.0587
24;9;1;-1377.8;-516.1;1723.5;0.0532
41;7;5;-669.9;-413.6;512.7;0.067
13;8;8;-533.2;-410.3;245.6;0.0706
50;2;10;-554.9;-468.1;173.5;0.0776
31;4;4;-978.1;-502.2;951.9;0.2394
49;10;7;-675.0;-451.4;447.1;0.0583
44;3;8;-525.8;-417.2;217.1;0.1465
17;3;2;-601.3;-488.3;226.0;0.1177
33;6;7;-1370.0;-545.5;1649.0;6.5952
29;6;2;-642.0;-480.1;323.7;0.0918
43;5;6;-702.1;-446.1;512.0;0.0618
41;10;3;-1020.1;-458.3;1123.6;0.1816
27;4;5;-635.8;-411.8;447.8;0.0995
28;9;5;-656.9;-417.4;479.1;0.0609
31;5;1;-694.4;-671.4;46.1;6.3898
18;10;9;-901.7;-469.1;865.2;0.0574
48;2;9;-615.2;-510.7;209.1;0.0989
9;9;3;-533.9;-513.3;41.3;6.5443
6;8;2;-622.6;-479.8;285.6;0.0704
4;2;10;-562.4;-470.0;184.9;0.0808
25;7;3;-911.1;-447.8;926.6;0.1905
40;9;7;-624.0;-455.7;336.8;0.0638
24;8;4;-573.6;-553.7;39.8;5.6487
31;9;2;-624.5;-481.2;286.6;0.0679
8;10;6;-691.2;-445.6;491.1;0.0516
21;3;10;-600.3;-454.8;291.0;0.0822
30;6;5;-675.4;-414.1;522.7;0.0736
23;2;9;-606.5;-580.0;52.8;6.3427
40;5;4;-870.0;-533.4;673.2;0.6205
32;10;2;-626.4;-482.3;288.2;0.0655
40;10;1;-898.5;-521.7;753.5;0.0492
24;4;7;-620.8;-446.0;349.7;0.0997
32;5;3;-734.4;-433.8;601.2;0.1059
18;2;1;-855.0;-603.3;503.3;0.26
8;2;3;-965.2;-484.3;961.9;0.7421
43;9;5;-586.1;-414.2;343.7;0.0621
11;6;8;-626.8;-414.9;423.7;0.0831
26;7;1;-2566.9;-546.4;4041.0;0.5788
27;8;6;-2160.9;-538.0;3245.8;2.761
42;6;2;-651.6;-483.5;336.3;0.0873
28;5;6;-660.2;-441.4;437.6;0.0565
7;3;2;-604.0;-488.3;231.4;0.1314
5;9;10;-651.9;-471.0;361.7;0.0754
43;10;7;-582.4;-560.4;44.1;6.7917
50;8;7;-692.7;-445.8;493.9;0.0674
11;3;6;-630.1;-442.0;376.2;0.0687
35;6;3;-633.5;-443.9;379.2;0.0977
34;9;4;-585.4;-553.7;63.5;6.3901
31;10;4;-572.2;-553.1;38.1;5.3885
19;8;8;-542.1;-409.0;266.1;0.0669
16;5;8;-518.8;-408.7;220.2;0.1044
21;4;1;-3485.8;-604.7;5762.3;2.627
45;5;2;-606.2;-482.8;246.7;0.1104
29;10;5;-553.2;-534.3;37.8;6.3353
39;7;2;-658.3;-480.8;355.0;0.0853
38;8;5;-675.8;-419.8;512.1;0.071
37;5;5;-642.0;-413.2;457.6;0.0787
47;6;4;-617.3;-554.4;125.7;5.6991
15;9;9;-1709.7;-487.2;2445.1;0.2655
17;8;10;-576.7;-558.5;36.5;7.1945
18;5;10;-626.2;-459.3;333.9;0.0815
7;7;5;-671.8;-406.9;529.8;0.0625
8;6;4;-654.2;-551.6;205.3;5.6225
49;4;3;-608.0;-430.3;355.5;0.1157
1;9;1;-709.2;-673.0;72.3;4.5262
23;7;7;-620.0;-454.6;330.9;0.0735
46;9;3;-1085.4;-495.9;1179.0;1.9695
12;3;4;-733.2;-504.9;456.6;0.1897
36;6;1;-806.7;-508.5;596.4;0.047
30;10;6;-780.5;-450.7;659.7;0.0533
38;4;6;-719.1;-442.4;553.5;0.0672
42;10;5;-691.6;-425.6;532.0;0.058
37;9;6;-643.7;-443.0;401.4;0.0486
22;4;3;-629.8;-444.2;371.1;0.1375
48;7;7;-719.9;-443.9;552.0;0.0751
50;4;4;-723.9;-548.3;351.2;6.2502
3;5;3;-718.7;-444.6;548.3;0.1442
28;10;7;-707.8;-443.9;527.7;0.0605
34;5;7;-737.1;-444.5;585.2;0.0861
21;8;2;-615.2;-480.7;269.0;0.0779
44;6;6;-678.7;-448.2;460.9;0.0513
45;9;1;-883.5;-508.9;749.1;0.0508
33;3;9;-681.0;-491.2;379.6;0.105
31;2;10;-555.4;-468.7;173.4;0.0728
20;7;5;-1559.1;-428.8;2260.7;0.3186
34;3;3;-717.8;-453.7;528.3;0.1624
10;6;6;-690.7;-443.9;493.6;0.0576
11;9;1;-3493.7;-556.6;5874.2;0.9704
26;8;8;-547.9;-408.8;278.1;0.0636
29;5;8;-550.7;-409.4;282.5;0.098
7;10;10;-760.8;-477.8;566.0;0.0972
38;2;2;-629.1;-524.9;208.4;0.1061
28;8;10;-1097.6;-476.6;1242.0;0.3646
31;10;10;-1395.3;-498.0;1794.5;0.8525
27;5;10;-576.7;-557.8;37.9;4.3892
25;4;9;-744.5;-487.1;514.8;0.1074
46;3;4;-1032.7;-502.3;1060.8;0.5255
2;3;7;-566.6;-455.2;222.8;0.1218
16;10;5;-555.9;-534.4;43.0;5.567
9;6;10;-646.7;-463.9;365.5;0.0787
22;2;7;-516.5;-467.7;97.5;0.14
9;10;8;-547.0;-409.9;274.3;0.0569
1;4;5;-645.1;-414.7;460.9;0.0901
37;3;1;-682.7;-542.7;280.1;0.0782
41;9;9;-1310.9;-508.7;1604.3;0.4895
13;6;4;-920.5;-537.7;765.5;1.3521
9;5;8;-497.4;-411.6;171.7;0.1125
43;8;10;-632.3;-465.9;332.8;0.0792
