Run;K;level;LnProbData;meanLnLikelihood;varianceLnLikelihood;meanAlpha
14;4;morphology;-951.5;-881.2;140.5;0.0397
21;7;syntax;-1387.0;-1066.8;640.5;0.0632
2;3;morphology;-1072.8;-1006.7;132.1;0.0482
7;7;phonology;-4544.8;-336.3;8417.1;1.719
39;3;phonology;-306.6;-275.9;61.5;0.053
13;7;morphology;-1031.8;-853.5;356.6;0.0404
26;4;syntax;-1177.6;-1080.6;194.0;0.1338
29;9;syntax;-1600.8;-1066.6;1068.5;0.0524
26;10;morphology;-1084.5;-857.5;454.0;0.0388
10;4;phonology;-272.0;-239.2;65.5;0.0437
42;9;syntax;-1560.2;-1056.0;1008.5;0.0508
46;2;morphology;-1130.8;-1093.1;75.4;0.0566
31;6;syntax;-1395.8;-1066.7;658.1;0.0732
9;4;morphology;-951.0;-881.3;139.3;0.04
8;3;morphology;-1024.0;-970.2;107.7;0.045
11;9;morphology;-1046.9;-843.2;407.4;0.0385
48;2;phonology;-337.6;-322.9;29.4;0.0785
15;2;syntax;-1274.0;-1218.7;110.6;0.1394
9;8;morphology;-1039.3;-844.0;390.5;0.0388
40;7;syntax;-1528.3;-1056.4;943.7;0.0581
23;2;phonology;-341.7;-324.5;34.4;0.0825
33;8;syntax;-1627.1;-1055.3;1143.5;0.0564
37;3;morphology;-1024.0;-970.1;107.8;0.0446
3;4;morphology;-951.3;-881.3;140.0;0.0403
48;9;syntax;-1602.5;-1051.6;1101.9;0.0516
15;9;phonology;-361.9;-236.9;250.1;0.0379
47;4;syntax;-1185.3;-1080.5;209.8;0.1366
23;9;syntax;-1549.6;-1045.7;1007.7;0.0523
27;2;morphology;-1130.9;-1093.0;75.8;0.0569
19;7;morphology;-978.5;-843.8;269.4;0.0391
47;10;morphology;-1051.2;-860.0;382.4;0.0382
33;3;phonology;-303.5;-275.8;55.4;0.0514
50;6;syntax;-1405.9;-1062.0;687.7;0.0729
48;10;phonology;-2246.3;-382.0;3728.7;2.9836
49;6;phonology;-313.5;-226.9;173.1;0.0405
14;6;syntax;-1407.1;-1060.7;692.9;0.0749
21;5;morphology;-949.5;-876.7;145.6;0.0401
5;9;morphology;-1054.0;-841.5;424.9;0.0382
1;10;morphology;-1049.5;-855.1;388.8;0.0383
35;4;phonology;-272.1;-238.1;68.1;0.0458
36;7;morphology;-1007.6;-853.6;307.8;0.0402
4;2;morphology;-1131.1;-1093.3;75.6;0.0553
23;10;phonology;-402.2;-255.9;292.5;0.0394
22;6;phonology;-309.8;-227.9;163.8;0.039
41;3;syntax;-1205.4;-1117.1;176.5;0.1136
45;8;morphology;-1017.5;-851.2;332.5;0.0396
6;6;syntax;-1353.9;-1064.6;578.6;0.0759
25;5;phonology;-310.0;-223.9;172.3;0.0415
31;4;morphology;-951.0;-881.2;139.7;0.0402
1;6;phonology;-349.1;-235.7;226.8;0.0399
5;10;phonology;-380.4;-245.3;270.2;0.039
32;7;phonology;-316.0;-228.9;174.1;0.0389
34;10;syntax;-3237.0;-1363.1;3747.8;6.4857
41;8;phonology;-332.3;-235.5;193.7;0.0397
13;5;syntax;-1278.9;-1072.6;412.5;0.0941
18;3;morphology;-1024.6;-970.3;108.7;0.0443
26;6;morphology;-1019.2;-852.0;334.4;0.0402
40;5;morphology;-951.1;-874.6;152.9;0.0404
16;3;phonology;-301.6;-275.5;52.3;0.0529
28;6;phonology;-323.6;-225.3;196.7;0.0395
29;10;phonology;-382.4;-245.9;273.0;0.0395
30;9;phonology;-340.8;-243.8;193.9;0.039
20;3;syntax;-1238.2;-1127.9;220.7;0.1208
24;8;morphology;-1015.3;-847.2;336.3;0.0387
43;6;phonology;-313.1;-229.9;166.2;0.0392
42;10;phonology;-394.8;-244.7;300.2;0.0386
12;3;morphology;-1024.3;-970.2;108.1;0.0435
19;5;syntax;-1273.5;-1078.1;390.7;0.1077
44;5;phonology;-304.5;-236.9;135.1;0.041
16;8;syntax;-1554.1;-1062.8;982.6;0.0567
38;7;phonology;-418.6;-415.0;7.2;5.3838
5;5;morphology;-1003.7;-868.0;271.5;0.0405
50;4;morphology;-952.3;-881.4;141.9;0.0401
30;2;syntax;-1269.3;-1218.0;102.7;0.1342
34;9;morphology;-1103.3;-848.9;508.9;0.0381
47;6;morphology;-1030.3;-854.2;352.3;0.0402
20;8;phonology;-344.0;-238.7;210.7;0.0388
34;9;phonology;-357.5;-238.2;238.5;0.038
47;6;phonology;-332.6;-230.3;204.8;0.0407
46;10;phonology;-392.1;-245.8;292.8;0.0391
24;3;syntax;-1239.9;-1125.2;229.5;0.1219
20;8;morphology;-1067.9;-855.1;425.5;0.0399
44;5;morphology;-977.5;-872.7;209.5;0.0405
12;3;phonology;-299.6;-276.1;47.1;0.0511
38;7;morphology;-1008.8;-848.3;321.1;0.0407
50;4;phonology;-270.9;-237.7;66.4;0.0451
34;2;syntax;-1268.9;-1218.2;101.5;0.1339
30;9;morphology;-998.5;-834.7;327.6;0.038
24;8;phonology;-356.8;-235.6;242.5;0.0395
8;6;syntax;-1368.2;-1073.7;588.9;0.0753
43;6;morphology;-1066.0;-856.9;418.3;0.0409
16;3;morphology;-1023.9;-970.0;107.7;0.044
40;5;phonology;-339.4;-226.3;226.1;0.0409
12;8;syntax;-1378.1;-1072.7;610.9;0.0586
28;6;morphology;-1019.8;-853.0;333.7;0.0412
1;5;morphology;-956.6;-874.8;163.5;0.0407
32;7;morphology;-1054.0;-852.1;403.8;0.0409
18;3;phonology;-304.2;-274.5;59.5;0.0515
45;3;syntax;-1209.6;-1117.6;184.0;0.1078
41;8;morphology;-1027.2;-848.5;357.4;0.0396
27;10;phonology;-418.9;-415.2;7.2;7.3203
26;6;phonology;-335.0;-227.7;214.6;0.0393
25;5;morphology;-967.6;-873.1;189.0;0.0411
1;9;morphology;-1024.1;-849.5;349.3;0.0391
10;6;syntax;-1368.2;-1060.1;616.2;0.0774
31;4;phonology;-274.2;-238.9;70.5;0.0436
5;10;morphology;-1104.9;-843.8;522.2;0.0371
30;10;syntax;-1593.3;-1057.7;1071.1;0.0503
36;7;phonology;-339.9;-235.7;208.4;0.0389
22;6;morphology;-963.7;-847.1;233.3;0.0403
18;8;syntax;-1478.1;-1071.8;812.6;0.0557
45;8;phonology;-340.1;-236.4;207.3;0.0386
17;5;syntax;-1277.2;-1074.2;406.1;0.0982
49;6;morphology;-963.4;-847.4;231.8;0.0405
2;6;syntax;-1309.5;-1062.5;493.9;0.0774
21;5;phonology;-351.5;-229.9;243.2;0.0421
1;10;phonology;-1623.1;-263.7;2718.8;0.2008
35;4;morphology;-1276.7;-901.9;749.5;0.0437
5;6;phonology;-322.3;-228.1;188.4;0.0401
27;2;phonology;-339.4;-323.7;31.4;0.0871
19;7;phonology;-3710.7;-285.0;6851.5;1.3245
44;7;syntax;-1513.2;-1050.5;925.5;0.0631
38;5;syntax;-1247.0;-1078.1;337.8;0.0955
37;8;syntax;-1566.0;-1060.8;1010.4;0.055
33;3;morphology;-1024.5;-970.2;108.6;0.0445
15;9;morphology;-1071.3;-846.0;450.5;0.039
11;2;syntax;-1268.6;-1217.9;101.5;0.1332
43;10;morphology;-1033.4;-853.0;360.7;0.0381
